x1,y1,x2,y2,x3,y3
55.9930301513,79.2772636977,58.2136082599,91.881891513,55.3846,97.1795
50.0322537946,79.013071199,58.1960536923,92.2149886482,51.5385,96.0256
51.2884586593,82.4359398425,58.7182307185,90.310532087,46.1538,94.4872
51.1705368873,79.1652941091,57.27837287,89.9076067166,42.8205,91.4103
44.3779145287,78.1646280036,58.082020494,92.0081450101,40.7692,88.3333
45.0102700721,77.8808631153,57.4894477748,88.0852855629,38.7179,84.8718
48.559816719,78.7883706035,28.088741319,63.5107944263,35.641,79.8718
42.1422682922,76.8806345544,28.0854682136,63.5901969481,33.0769,77.5641
41.0269715735,76.4095884613,28.087273053,63.1232828116,28.9744,74.4872
34.5753090115,72.7248411845,27.5780252176,62.8210386566,26.1538,71.4103
31.1686007236,69.2454213193,27.7799191139,63.518147517,23.0769,66.4103
32.6442540714,70.7325550334,28.5889998149,63.0240805653,22.3077,61.7949
26.6666456539,62.9809712052,28.7391414969,62.7208638859,22.3077,57.1795
26.4592623274,62.6346733709,27.0246032407,62.9018588649,23.3333,52.9487
25.5380076465,60.6302361093,28.8013366963,63.389040388,25.8974,51.0256
26.3207111933,62.3962811186,27.186463838,63.5587296478,29.4872,51.0256
26.1633874648,62.0268148985,29.2851466002,63.3836058254,32.8205,51.0256
25.2137904611,60.2733986018,39.4029453026,51.1508571967,35.3846,51.4103
26.8595295604,63.1418346727,28.8113284396,61.3578540576,40.2564,51.4103
31.7606691716,69.7976553936,34.3039579069,56.5421259093,44.1026,52.9487
39.7932905744,75.8079642168,29.6027609801,60.157346722,46.6667,54.1026
45.6174391854,78.1199702277,49.1161568603,63.6600006211,50,55.2564
53.7714606827,79.3029316435,39.6175458263,62.9251879574,53.0769,55.641
56.4514336733,79.2471070208,43.23308466,63.1652187223,56.6667,56.0256
66.0937201989,77.0178182606,64.8927879422,65.8141767574,59.2308,57.9487
56.9258394194,79.2063186226,62.4901493154,74.5842896072,61.2821,62.1795
58.9882538467,78.9172589554,68.9880844294,63.232147305,61.5385,66.4103
57.9022660533,79.0808678187,62.1056186306,75.9908707599,61.7949,69.1026
64.8128669568,77.4869389235,32.4618467439,62.8819029189,57.4359,55.2564
60.3497935166,78.7294458673,41.3272006535,49.0702512739,54.8718,49.8718
48.890555756,16.8065435154,44.0071499323,46.4496737846,52.5641,46.0256
47.549506348,17.0714045245,44.0740606888,34.5532038906,48.2051,38.3333
30.8894308257,26.3290372348,44.0013152386,33.9042073544,49.4872,42.1795
28.972835724,29.0504689185,45.0063004454,38.2990195507,51.0256,44.1026
35.1613607523,22.7868496473,44.4438406096,36.0190833012,45.3846,36.4103
45.8703691685,17.4893933655,42.1787133986,26.492119482,42.8205,32.5641
